Player,Team,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100s,50s,0s,4s,6s
B Sai Sudharsan,GT,2026-2026,14,14,1,638,100,49.07,404,157.92,1,7,1,62,29
Shubman Gill,GT,2026-2026,13,13,0,616,86,47.38,381,161.67,0,6,0,57,30
H Klaasen,SRH,2026-2026,14,14,2,606,69,50.5,380,159.47,0,6,0,46,30
V Sooryavanshi,RR,2026-2026,14,14,0,583,103,41.64,251,232.27,1,3,1,50,53
Ishan Kishan,SRH,2026-2026,14,14,0,569,91,40.64,319,178.36,0,6,2,57,29
Abhishek Sharma,SRH,2026-2026,14,14,1,563,135*,43.3,273,206.22,1,4,2,50,43
MR Marsh,LSG,2026-2026,13,13,0,563,111,43.3,345,163.18,1,3,0,51,36
V Kohli,RCB,2026-2026,14,14,3,557,105*,50.63,340,163.82,1,4,2,59,21
KL Rahul,DC,2026-2026,13,13,1,533,152*,44.41,310,171.93,1,4,1,51,27
Prabhsimran Singh,PBKS,2026-2026,14,13,1,510,80*,42.5,302,168.87,0,6,1,55,23
SS Iyer,PBKS,2026-2026,14,13,4,498,101*,55.33,295,168.81,1,5,0,39,30
CPL Connolly,PBKS,2026-2026,14,13,2,491,107*,44.63,301,163.12,1,2,1,43,32
